MODEL,PRED_DOCKQ
model_1_multimer_20220423_052571_tidy,0.36518282
model_3_multimer_20220423_221403_tidy,0.36518282
ranked_2_tidy,0.36518282
ranked_1_tidy,0.36518282
ranked_0_tidy,0.36518282
model_5_multimer_20220423_342393_tidy,0.36518282
model_4_multimer_20220423_342393_tidy,0.36518282
model_4_multimer_20220423_221403_tidy,0.36518282
model_3_multimer_20220423_342393_tidy,0.36518282
model_3_multimer_20220423_293181_tidy,0.36518282
model_4_multimer_20220423_052571_tidy,0.36518282
model_3_multimer_20220423_052571_tidy,0.36518282
model_2_multimer_20220423_052571_tidy,0.36518282
model_5_multimer_20220423_221403_tidy,0.36518279
ranked_3_tidy,0.36518279
model_1_multimer_20220423_293181_tidy,0.36518279
model_1_multimer_20220423_342393_tidy,0.36518279
model_1_multimer_20220423_536048_tidy,0.36518279
model_5_multimer_20220423_536048_tidy,0.36518279
model_5_multimer_20220423_293181_tidy,0.36518279
model_5_multimer_20220423_052571_tidy,0.36518279
model_2_multimer_20220423_536048_tidy,0.36518279
model_4_multimer_20220423_536048_tidy,0.36518279
model_2_multimer_20220423_221403_tidy,0.36518279
model_4_multimer_20220423_293181_tidy,0.36518279
model_2_multimer_20220423_293181_tidy,0.36518279
model_1_multimer_20220423_221403_tidy,0.36518279
model_3_multimer_20220423_536048_tidy,0.36518279
model_2_multimer_20220423_342393_tidy,0.36518279
ranked_4_tidy,0.36518279
